1648226040.422518 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 1595353841:1595353877, ack 3540230546, win 443, options [nop,nop,TS val 1903956389 ecr 1011494907], length 36
1648226040.566446 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 36:72, ack 1, win 443, options [nop,nop,TS val 1903956533 ecr 1011521722], length 36
1648226040.774317 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 72:108, ack 1, win 443, options [nop,nop,TS val 1903956741 ecr 1011521866], length 36
1648226041.127618 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 1:37, ack 108, win 471, options [nop,nop,TS val 1011522338 ecr 1903956741], length 36
1648226041.271810 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 37:73, ack 108, win 471, options [nop,nop,TS val 1011522482 ecr 1903957094], length 36
1648226041.479607 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 73:109, ack 108, win 471, options [nop,nop,TS val 1011522690 ecr 1903957238], length 36
1648226042.782242 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 108:144, ack 109, win 443, options [nop,nop,TS val 1903958749 ecr 1011522690], length 36
1648226043.489002 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 109:241, ack 144, win 471, options [nop,nop,TS val 1011524700 ecr 1903958749], length 132
1648226044.470394 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 144:180, ack 241, win 443, options [nop,nop,TS val 1903960437 ecr 1011524700], length 36
1648226044.614322 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 180:216, ack 241, win 443, options [nop,nop,TS val 1903960581 ecr 1011525770], length 36
1648226044.830328 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 216:252, ack 241, win 443, options [nop,nop,TS val 1903960797 ecr 1011525914], length 36
1648226045.014370 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 252:288, ack 241, win 443, options [nop,nop,TS val 1903960981 ecr 1011526130], length 36
1648226045.176355 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 241:277, ack 288, win 471, options [nop,nop,TS val 1011526387 ecr 1903960981], length 36
1648226045.207247 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 288:324, ack 277, win 443, options [nop,nop,TS val 1903961174 ecr 1011526387], length 36
1648226045.319480 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 277:313, ack 324, win 471, options [nop,nop,TS val 1011526530 ecr 1903961174], length 36
1648226045.382244 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 324:360, ack 313, win 443, options [nop,nop,TS val 1903961349 ecr 1011526530], length 36
1648226045.535681 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 313:349, ack 360, win 471, options [nop,nop,TS val 1011526746 ecr 1903961349], length 36
1648226045.719546 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 349:385, ack 360, win 471, options [nop,nop,TS val 1011526930 ecr 1903961502], length 36
1648226045.912316 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 385:421, ack 360, win 471, options [nop,nop,TS val 1011527123 ecr 1903961686], length 36
1648226046.087577 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 421:457, ack 360, win 471, options [nop,nop,TS val 1011527298 ecr 1903961879], length 36
1648226046.526399 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 360:396, ack 457, win 443, options [nop,nop,TS val 1903962493 ecr 1011527298], length 36
1648226047.233721 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 457:589, ack 396, win 471, options [nop,nop,TS val 1011528444 ecr 1903962493], length 132
1648226048.117515 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 396:432, ack 589, win 443, options [nop,nop,TS val 1903964084 ecr 1011528444], length 36
1648226048.293830 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 432:468, ack 589, win 443, options [nop,nop,TS val 1903964260 ecr 1011529417], length 36
1648226048.454045 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 468:504, ack 589, win 443, options [nop,nop,TS val 1903964420 ecr 1011529594], length 36
1648226048.678311 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 504:540, ack 589, win 443, options [nop,nop,TS val 1903964645 ecr 1011529754], length 36
1648226048.822663 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 589:625, ack 540, win 471, options [nop,nop,TS val 1011530033 ecr 1903964645], length 36
1648226048.846360 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 540:576, ack 625, win 443, options [nop,nop,TS val 1903964813 ecr 1011530033], length 36
1648226048.998981 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 625:661, ack 576, win 471, options [nop,nop,TS val 1011530210 ecr 1903964813], length 36
1648226049.022212 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 576:612, ack 661, win 443, options [nop,nop,TS val 1903964989 ecr 1011530210], length 36
1648226049.160128 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 661:697, ack 612, win 471, options [nop,nop,TS val 1011530371 ecr 1903964989], length 36
1648226049.165712 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 612:648, ack 697, win 443, options [nop,nop,TS val 1903965132 ecr 1011530371], length 36
1648226049.383389 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 697:733, ack 648, win 471, options [nop,nop,TS val 1011530594 ecr 1903965132], length 36
1648226049.551489 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 733:769, ack 648, win 471, options [nop,nop,TS val 1011530762 ecr 1903965391], length 36
1648226049.702414 IP 172.31.86.245.48268 > 52.59.96.142.22: Flags [P.], seq 648:684, ack 769, win 443, options [nop,nop,TS val 1903965669 ecr 1011530762], length 36
1648226049.727399 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 769:805, ack 648, win 471, options [nop,nop,TS val 1011530938 ecr 1903965518], length 36
1648226049.870923 IP 52.59.96.142.22 > 172.31.86.245.48268: Flags [P.], seq 805:841, ack 684, win 471, options [nop,nop,TS val 1011531082 ecr 1903965694], length 36
